# Note - 2/19/18,,,,,,
# Note - AXI Goldline KV 370,,,,,,
# Note - _AXi_5320/18,,,,,,
# ESC - VK03531,,,,,,
# Poles - 2,,,,,,
# Gear Ratio - 1,,,,,,
# KV - 1100,,,,,,
# Graph Data - 12 Sessions - Saved Monday, February 19,2018,,,,
# Start Of Session - Sample Time: 0.100,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1191,0,20.5,0,0,24.9,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.28,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.28,0,0,68.3,0
1.1191,0,20.5,0.211,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.28,0,0,68.3,0
1.1191,0,20.5,0,0,68.3,0
1.1191,0,20.28,0,0,68.3,0
1.1191,0,20.28,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.1426,0,20.5,0,0,68.3,0
1.3385,8.627,20.5,0.211,0,68.3,0
1.3385,8.627,20.28,0,0,68.3,13164
1.3385,8.627,20.28,0,0,68.3,14080
1.2993,0.784,20.5,0,0,68.3,14625
1.2837,0,20.28,0,0,68.3,13823
1.2758,0,20.28,0,0,68.3,12642
1.2758,0,20.28,0.211,0,68.3,11393
1.2758,0,20.28,0,0,68.3,10087
1.2758,0,20.28,0,0,68.3,9383
1.2758,0,20.28,0,0,68.3,8677
1.2758,0,20.5,0.211,0,68.3,7124
1.2758,0,20.5,0.211,0,68.3,6286
1.2758,0,20.28,0,0,68.3,6286
1.2758,0,20.28,0,0,67.6,5360
1.2602,0,20.5,0.211,0,68.3,4323
1.2131,0,20.28,0.211,0,68.3,4323
1.2131,0,20.28,0,0,67.6,3094
1.2131,0,20.28,0.211,0,68.3,3094
1.2131,0,20.28,0,0,68.3,3094
1.2131,0,20.28,0,0,68.3,3094
1.2131,0,20.28,0,0,68.3,3094
1.2131,0,20.5,0,0,68.3,2580
1.2131,0,20.28,0,0,68.3,2580
1.2131,0,20.28,0,0,68.3,2580
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.5,0,0,68.3,0
1.2131,0,20.5,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.5,0.211,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.2131,0,20.28,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.174,0,20.5,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1034,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
# Start Of Session - Sample Time: 0.100,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1269,0,20.28,0,0,24.9,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0.211,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0.211,0,68.3,0
1.1269,0,20.5,0.211,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0,0,69,0
1.1269,0,20.5,0.211,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.28,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.1269,0,20.5,0,0,68.3,0
1.3699,14.118,20.28,0,0,68.3,0
1.3777,16.863,20.28,0,0,68.3,18020
1.3856,17.647,20.28,0,0,68.3,21605
1.3934,19.216,20.28,0,0,68.3,23685
1.4012,20.392,20.28,0,0,68.3,25942
1.4091,21.961,20.28,0,0,68.3,28278
1.4091,23.137,20.28,0,0,68.3,29980
1.4247,25.882,20.28,0,0,68.3,31703
1.4404,28.235,20.28,0,0,68.3,33635
1.4482,30.588,20.28,0,0,68.3,35819
1.4561,32.157,20.28,0,0,68.3,37600
1.4639,34.118,20.28,0,0,68.3,38815
