# Note - 2/19/18 6:27,,,,,,
# Note - rampup1,,,,,,
# ESC - VK03531,,,,,,
# Poles - 2,,,,,,
# Gear Ratio - 1,,,,,,
# KV - 1100,,,,,,
# Graph Data - 1 Sessions - Saved Monday, February 19,2018,,,,
# Start Of Session - Sample Time: 1.000,,,,,,
# Reset Source (Cause of reset):  Normal Boot-up Sequence,255,,,,,
# Idle Times: ,,,,,,
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1191,0,20.28,0,0,24.9,0
1.1191,0,20.28,0.211,0,70.4,0
1.1191,0,20.28,0.211,0,70.4,0
1.0642,0,20.28,0,0,70.4,0
1.0642,0,20.28,0,0,70.4,0
1.0642,0,20.28,0,0,70.4,0
1.1348,6.275,20.28,0,0,70.4,5897
1.1348,5.882,20.28,0,0,70.4,6627
1.1348,6.275,20.28,0,0,70.4,6909
1.1348,6.275,20.28,0,0,71.1,7072
1.1583,10.196,20.28,0,0,70.4,8357
1.174,13.333,20.28,0,0,70.4,10348
1.1896,16.863,20.28,0,0,70.4,12196
1.1975,18.431,20.28,0,0,70.4,13318
1.2053,18.824,20.28,0,0,70.4,13955
1.2053,20,20.28,0,0,71.1,14307
1.2131,20.392,20.28,0,0,71.1,14773
1.221,22.353,20.28,0,0,71.1,15259
1.2288,25.098,20.28,0.211,0,71.1,16465
1.2367,25.49,20.28,0,0,71.1,16694
1.2445,27.843,20.28,0.211,0,71.1,17391
1.2445,27.843,20.28,0.211,0,71.1,17601
1.2523,29.02,20.28,0.211,0,70.4,17723
1.2602,30.196,20.28,0.211,0,71.1,18611
1.2758,34.51,20.28,0.211,0,71.8,18748
1.2758,33.333,20.28,0.211,0,71.1,19745
1.1504,7.843,20.28,0,0,71.8,14924
1.0878,0,20.28,0,0,71.8,8800
1.0878,0,20.28,0,0,71.8,5390
