# Note - 2/19/18 6:35
# ESC - VK03531
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 1 Sessions - Saved Monday, February 19, 2018
# Start Of Session - Sample Time: 0.100
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 24.9        , 0           
1.1583      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 72.5        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1583      , 0.000       , 20.28       , 0.000       , 0.0         , 71.1        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1583      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1661      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1504      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1348      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1191      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1191      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1113      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1740      , 6.667       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1740      , 6.667       , 20.28       , 0.000       , 0.0         , 70.4        , 0           
1.1740      , 7.059       , 20.28       , 0.000       , 0.0         , 71.8        , 5753        
1.1740      , 7.059       , 20.28       , 0.000       , 0.0         , 71.8        , 5966        
1.1740      , 7.843       , 20.28       , 0.000       , 0.0         , 71.8        , 6176        
1.1818      , 8.627       , 20.28       , 0.000       , 0.0         , 71.8        , 6404        
1.1818      , 8.627       , 20.28       , 0.000       , 0.0         , 71.8        , 6655        
1.1818      , 8.627       , 20.28       , 0.000       , 0.0         , 71.8        , 6912        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7136        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7328        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7509        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7796        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 7926        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 8041        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 8219        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 8306        
1.1818      , 9.412       , 20.28       , 0.000       , 0.0         , 71.8        , 8381        
1.1896      , 10.196      , 20.28       , 0.000       , 0.0         , 71.8        , 8458        
1.1975      , 11.373      , 20.28       , 0.000       , 0.0         , 71.8        , 8647        
1.1975      , 11.765      , 20.28       , 0.000       , 0.0         , 71.8        , 8808        
1.1975      , 11.765      , 20.28       , 0.000       , 0.0         , 71.8        , 9102        
1.1975      , 12.157      , 20.28       , 0.000       , 0.0         , 71.8        , 9259        
1.2053      , 12.941      , 20.28       , 0.000       , 0.0         , 71.8        , 9554        
1.2053      , 13.725      , 20.28       , 0.000       , 0.0         , 71.8        , 9722        
1.2053      , 13.725      , 20.28       , 0.000       , 0.0         , 71.8        , 10053       
1.2053      , 14.118      , 20.28       , 0.000       , 0.0         , 71.8        , 10208       
1.2131      , 14.118      , 20.28       , 0.000       , 0.0         , 71.8        , 10481       
1.2131      , 14.510      , 20.28       , 0.000       , 0.0         , 71.8        , 10751       
1.2131      , 14.510      , 20.28       , 0.000       , 0.0         , 71.8        , 10848       
1.2131      , 15.686      , 20.28       , 0.000       , 0.0         , 71.8        , 11090       
1.2210      , 16.863      , 20.28       , 0.000       , 0.0         , 71.8        , 11343       
1.2288      , 17.647      , 20.28       , 0.000       , 0.0         , 71.8        , 11680       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 12038       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 12182       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 12457       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 12673       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 12865       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 13029       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 13215       
1.2288      , 18.039      , 20.28       , 0.000       , 0.0         , 71.8        , 13301       
1.2288      , 18.431      , 20.28       , 0.000       , 0.0         , 71.8        , 13379       
1.2288      , 18.431      , 20.28       , 0.000       , 0.0         , 71.8        , 13459       
1.2288      , 18.431      , 20.28       , 0.000       , 0.0         , 71.8        , 13530       
1.2367      , 19.216      , 20.28       , 0.000       , 0.0         , 71.8        , 13584       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 71.8        , 13721       
1.2445      , 20.392      , 20.28       , 0.000       , 0.0         , 71.8        , 13842       
1.2445      , 20.392      , 20.28       , 0.000       , 0.0         , 71.8        , 14051       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14149       
1.2445      , 20.784      , 20.28       , 0.211       , 0.0         , 71.8        , 14267       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14358       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14429       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14511       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14583       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14625       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14699       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14720       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14763       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14795       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14827       
1.2445      , 21.176      , 20.28       , 0.000       , 0.0         , 71.8        , 14859       
1.2445      , 21.569      , 20.28       , 0.211       , 0.0         , 71.8        , 14914       
1.2602      , 23.922      , 20.28       , 0.211       , 0.0         , 71.8        , 15023       
1.2602      , 24.706      , 20.28       , 0.211       , 0.0         , 71.8        , 15236       
1.2602      , 24.706      , 20.28       , 0.211       , 0.0         , 71.8        , 15573       
1.2602      , 24.706      , 20.28       , 0.000       , 0.0         , 71.8        , 15741       
1.2602      , 25.098      , 20.28       , 0.211       , 0.0         , 71.8        , 15951       
1.2680      , 25.098      , 20.28       , 0.211       , 0.0         , 71.8        , 16101       
1.2680      , 26.275      , 20.28       , 0.211       , 0.0         , 71.8        , 16294       
1.2758      , 27.451      , 20.28       , 0.211       , 0.0         , 71.8        , 16478       
1.2758      , 27.451      , 20.28       , 0.211       , 0.0         , 71.8        , 16762       
1.2758      , 27.843      , 20.28       , 0.211       , 0.0         , 71.8        , 17014       
1.2837      , 28.627      , 20.28       , 0.211       , 0.0         , 71.8        , 17142       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 17376       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 17570       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 17692       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 17847       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 17972       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18052       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18148       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18164       
1.2837      , 29.020      , 20.28       , 0.211       , 0.0         , 71.8        , 18213       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18262       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18311       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18360       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18377       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18427       
1.2837      , 29.412      , 20.28       , 0.211       , 0.0         , 71.8        , 18410       
1.2837      , 29.804      , 20.28       , 0.211       , 0.0         , 71.8        , 18443       
1.2915      , 30.980      , 20.28       , 0.211       , 0.0         , 71.8        , 18493       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 18628       
1.2993      , 31.765      , 20.28       , 0.211       , 0.0         , 71.8        , 18817       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 18957       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19010       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19099       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19171       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19207       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19225       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19261       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 1.6         , 71.8        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19279       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19297       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19316       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19316       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19316       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 71.8        , 19334       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19334       
1.2993      , 32.157      , 20.28       , 0.211       , 0.0         , 72.5        , 19297       
1.2993      , 31.765      , 20.28       , 0.211       , 0.0         , 72.5        , 19279       
1.2993      , 31.765      , 20.28       , 0.211       , 0.0         , 72.5        , 19279       
1.2915      , 30.196      , 20.28       , 0.211       , 0.0         , 72.5        , 19207       
1.2915      , 29.804      , 20.28       , 0.211       , 0.0         , 72.5        , 19063       
