# Note - 2/19/18 6:37
# ESC - VK03531
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 1 Sessions - Saved Monday, February 19, 2018
# Start Of Session - Sample Time: 0.100
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.1348      , 0.000       , 20.28       , 0.000       , 0.0         , 24.9        , 0           
1.1348      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1348      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1348      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1113      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1113      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1034      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1269      , 0.000       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1740      , 6.667       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1740      , 7.059       , 20.28       , 0.000       , 0.0         , 71.8        , 0           
1.1740      , 7.451       , 20.28       , 0.000       , 0.0         , 71.8        , 5706        
1.1818      , 8.627       , 20.28       , 0.000       , 0.0         , 71.8        , 5996        
1.1818      , 9.020       , 20.28       , 0.000       , 0.0         , 71.8        , 6325        
1.1896      , 10.196      , 20.28       , 0.000       , 0.0         , 71.8        , 6679        
1.1896      , 10.588      , 20.28       , 0.000       , 0.0         , 71.8        , 7026        
1.1896      , 10.588      , 20.28       , 0.000       , 0.0         , 71.8        , 7355        
1.1896      , 10.588      , 20.28       , 0.000       , 0.0         , 71.8        , 7630        
1.1975      , 11.373      , 20.28       , 0.000       , 0.0         , 71.8        , 8108        
1.1975      , 11.373      , 20.28       , 0.000       , 0.0         , 71.8        , 8344        
1.1975      , 12.549      , 20.28       , 0.000       , 0.0         , 71.8        , 8543        
1.2131      , 14.510      , 20.28       , 0.000       , 0.0         , 71.8        , 9058        
1.2131      , 14.902      , 20.28       , 0.000       , 0.0         , 71.8        , 9387        
1.2131      , 15.686      , 20.28       , 0.000       , 0.0         , 71.8        , 10013       
1.2210      , 15.686      , 20.28       , 0.000       , 0.0         , 71.8        , 10260       
1.2210      , 16.078      , 20.28       , 0.000       , 0.0         , 71.8        , 10729       
1.2210      , 16.078      , 20.28       , 0.000       , 0.0         , 71.8        , 11102       
1.2210      , 16.078      , 20.28       , 0.000       , 0.0         , 71.8        , 11267       
1.2210      , 16.471      , 20.28       , 0.000       , 0.0         , 71.8        , 11522       
1.2210      , 16.471      , 20.28       , 0.000       , 0.0         , 71.8        , 11747       
1.2210      , 16.471      , 20.28       , 0.000       , 0.0         , 71.8        , 11968       
1.2288      , 17.647      , 20.28       , 0.000       , 0.0         , 71.8        , 12153       
1.2288      , 18.824      , 20.28       , 0.000       , 0.0         , 71.8        , 12396       
1.2367      , 19.216      , 20.28       , 0.211       , 0.0         , 71.8        , 12705       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 71.8        , 12963       
1.2367      , 19.216      , 20.28       , 0.000       , 0.0         , 71.8        , 13198       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 71.8        , 13397       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 72.5        , 13566       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 72.5        , 13702       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 71.8        , 13823       
1.2367      , 19.608      , 20.28       , 0.000       , 0.0         , 71.8        , 13974       
1.2367      , 20.000      , 20.28       , 0.211       , 0.0         , 71.8        , 14061       
1.2445      , 20.784      , 20.28       , 0.000       , 0.0         , 71.8        , 14139       
1.2445      , 21.176      , 20.28       , 0.000       , 0.0         , 71.8        , 14277       
1.2445      , 21.176      , 20.28       , 0.211       , 0.0         , 71.8        , 14388       
1.2445      , 21.569      , 20.28       , 0.211       , 0.0         , 71.8        , 14552       
1.2445      , 21.961      , 20.28       , 0.000       , 0.0         , 71.8        , 14646       
